"Game:"
"Test","Expected","Result","Debug"
"attack","ATTACK","PASS",""
"charge","ATTACK","FAIL","Found command: ""charge"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"hit","ATTACK","FAIL","Found command: ""hit"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"tackle","ATTACK","FAIL","Found command: ""tackle"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"fight","ATTACK","FAIL","Found command: ""fight"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"assault","ATTACK","FAIL","Found command: ""assault"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"battle","ATTACK","FAIL","Found command: ""battle"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"launch an assault","ATTACK","FAIL","Found command: ""launch an assault"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"attack with a sword","ATTACK_WEAPON","PASS",""
"attack with something sharp","ATTACK_WEAPON","FAIL","Found command: ""attack with something sharp"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"attack with something pointy","ATTACK_WEAPON","FAIL","Found command: ""attack with something pointy"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"attack with something long","ATTACK_WEAPON","FAIL","Found command: ""attack with something long"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"attack with something metallic","ATTACK_WEAPON","FAIL","Found command: ""attack with something metallic"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"heal","HEAL","PASS",""
"recover","HEAL","FAIL","Found command: ""recover"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"regenerate","HEAL","FAIL","Found command: ""regenerate"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"rest","HEAL","FAIL","Found command: ""rest"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"restore","HEAL","FAIL","Found command: ""restore"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"defend","DEFEND","PASS",""
"guard","DEFEND","FAIL","Found command: ""guard"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"safeguard","DEFEND","FAIL","Found command: ""safeguard"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"shield","DEFEND","FAIL","Found command: ""shield"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"heal with a potion","HEAL_POTION","PASS",""
"heal with an elixer","HEAL_POTION","FAIL","Found command: ""heal with an elixer"" >> HEAL >>> Found command: ""yes"" >> Intent not understood."
"heal with an healing drink","HEAL_POTION","FAIL","Found command: ""heal with an healing drink"" >> HEAL >>> Found command: ""yes"" >> Intent not understood."
"move forwards","MOVE_FORWARDS","PASS",""
"move straight","MOVE_FORWARDS","FAIL","Found command: ""move straight"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"move backwards","MOVE_BACKWARDS","PASS",""
"move in reverse","MOVE_BACKWARDS","FAIL","Found command: ""move in reverse"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"move ahead","MOVE_FORWARDS","FAIL","Found command: ""move ahead"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"continue forwards","MOVE_FORWARDS","FAIL","Found command: ""continue forwards"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"run forwards","MOVE_FORWARDS","FAIL","Found command: ""run forwards"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"dash forwards","MOVE_FORWARDS","FAIL","Found command: ""dash forwards"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"Time per test","155.091 ms"
"Score:","21.21%"
""
"Video Conferencing:"
"Test","Expected","Result","Debug"
"phone","PHONE","PASS",""
"phone fred","PHONE_FRED","PASS",""
"phone jane","PHONE_JANE","PASS",""
"ring jane","PHONE_JANE","FAIL","Found command: ""ring jane"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"phone jane with video","PHONE_JANE_VIDEO","PASS",""
"phone jane with webcam","PHONE_JANE_VIDEO","FAIL","Found command: ""phone jane with webcam"" >> PHONE_JANE >>> Found command: ""yes"" >> Intent not understood."
"use webcam to call jane","PHONE_JANE_VIDEO","FAIL","Found command: ""use webcam to call jane"" >> What do you want to use the jane for? >>> Found command: ""yes"" >> Intent not understood."
"call jane with audio","PHONE_JANE_AUDIO","FAIL","Found command: ""call jane with audio"" >> What do you want to use the jane for? >>> Found command: ""yes"" >> Intent not understood."
"phone jane with sound","PHONE_JANE_AUDIO","FAIL","Found command: ""phone jane with sound"" >> PHONE_JANE >>> Found command: ""yes"" >> Intent not understood."
"contact jane with video","PHONE_JANE_VIDEO","FAIL","Found command: ""contact jane with video"" >> What do you want to use the jane for? >>> Found command: ""yes"" >> Intent not understood."
"stop call","STOP","PASS",""
"stop call with fred","STOP_FRED","PASS",""
"end call with fred","STOP_FRED","FAIL","Found command: ""end call with fred"" >> What do you want to use the fred for? >>> Found command: ""yes"" >> Intent not understood."
"close","STOP","FAIL","Found command: ""close"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"finish call with fred","STOP_FRED","FAIL","Found command: ""finish call with fred"" >> What do you want to use the fred for? >>> Found command: ""yes"" >> Intent not understood."
