"Game:"
"Test","Expected","Result","Debug"
"attack","ATTACK","PASS",""
"charge","ATTACK","PASS",""
"hit","ATTACK","PASS",""
"tackle","ATTACK","PASS",""
"fight","ATTACK","PASS",""
"assault","ATTACK","PASS",""
"battle","ATTACK","PASS",""
"launch an assault","ATTACK","PASS",""
"attack with a sword","ATTACK_WEAPON","PASS",""
"attack with something sharp","ATTACK_WEAPON","PASS",""
"attack with something pointy","ATTACK_WEAPON","PASS",""
"attack with something long","ATTACK_WEAPON","PASS",""
"attack with something metallic","ATTACK_WEAPON","PASS",""
"heal","HEAL","PASS",""
"recover","HEAL","FAIL","Found command: ""recover"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"regenerate","HEAL","FAIL","Found command: ""regenerate"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"rest","HEAL","FAIL","Found command: ""rest"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"restore","HEAL","FAIL","Found command: ""restore"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"defend","DEFEND","PASS",""
"guard","DEFEND","FAIL","Found command: ""guard"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"safeguard","DEFEND","FAIL","Found command: ""safeguard"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"shield","DEFEND","FAIL","Found command: ""shield"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"heal with a potion","HEAL_POTION","PASS",""
"heal with an elixer","HEAL_POTION","FAIL","Found command: ""heal with an elixer"" >> You cannot heal with that. Ignoring... >> HEAL >>> Found command: ""yes"" >> Intent not understood."
"heal with an healing drink","HEAL_POTION","FAIL","Found command: ""heal with an healing drink"" >> You cannot heal with that. Ignoring... >> HEAL >>> Found command: ""yes"" >> Intent not understood."
"move forwards","MOVE_FORWARDS","PASS",""
"move straight","MOVE_FORWARDS","FAIL","Found command: ""move straight"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"move backwards","MOVE_BACKWARDS","PASS",""
"move in reverse","MOVE_BACKWARDS","FAIL","Found command: ""move in reverse"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"move ahead","MOVE_FORWARDS","FAIL","Found command: ""move ahead"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"continue forwards","MOVE_FORWARDS","FAIL","Found command: ""continue forwards"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"run forwards","MOVE_FORWARDS","FAIL","Found command: ""run forwards"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"dash forwards","MOVE_FORWARDS","FAIL","Found command: ""dash forwards"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"Time per test","29.333 ms"
"Score:","54.55%"
""
"Video Conferencing:"
"Test","Expected","Result","Debug"
"phone","PHONE","PASS",""
"phone fred","PHONE_FRED","PASS",""
"phone jane","PHONE_JANE","PASS",""
"ring jane","PHONE_JANE","PASS",""
"phone jane with video","PHONE_JANE_VIDEO","PASS",""
"phone jane with webcam","PHONE_JANE_VIDEO","FAIL","Found command: ""phone jane with webcam"" >> You cannot phone with that. Ignoring... >> PHONE_JANE >>> Found command: ""yes"" >> Intent not understood."
"use webcam to call jane","PHONE_JANE_VIDEO","FAIL","Found command: ""use webcam to call jane"" >> You cannot phone with that. Ignoring... >> PHONE_JANE >>> Found command: ""yes"" >> Intent not understood."
"call jane with audio","PHONE_JANE_AUDIO","PASS",""
"phone jane with sound","PHONE_JANE_AUDIO","FAIL","Found command: ""phone jane with sound"" >> You cannot phone with that. Ignoring... >> PHONE_JANE >>> Found command: ""yes"" >> Intent not understood."
"contact jane with video","PHONE_JANE_VIDEO","PASS",""
"stop call","STOP","PASS",""
"stop call with fred","STOP_FRED","PASS",""
"end call with fred","STOP_FRED","FAIL","Found command: ""end call with fred"" >> You cannot phone with that. Ignoring... >> PHONE >>> Found command: ""yes"" >> Intent not understood."
"close","STOP","FAIL","Found command: ""close"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"finish call with fred","STOP_FRED","FAIL","Found command: ""finish call with fred"" >> You cannot phone with that. Ignoring... >> PHONE >>> Found command: ""yes"" >> Intent not understood."
"halt call with fred","STOP_FRED","FAIL","Found command: ""halt call with fred"" >> You cannot phone with that. Ignoring... >> PHONE >>> Found command: ""yes"" >> Intent not understood."
"mute video","MUTE_VIDEO","PASS",""
"mute screen","MUTE_VIDEO","FAIL","Found command: ""mute screen"" >> MUTE >>> Found command: ""yes"" >> Intent not understood."
"mute jane","MUTE_JANE","PASS",""
"silence jane","MUTE_JANE","FAIL","Found command: ""silence jane"" >> PHONE_JANE >>> Found command: ""yes"" >> Intent not understood."
"Time per test","40.650 ms"
"Score:","55.00%"
""
"Cooking:"
"Test","Expected","Result","Debug"
"make an egg","MAKE_EGG","PASS",""
"make eggs","MAKE_EGG","FAIL","Found command: ""make eggs"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"make soup","MAKE_SOUP","PASS",""
"create soup","MAKE_SOUP","PASS",""
"produce soup","MAKE_SOUP","PASS",""
"cook egg","MAKE_EGG","PASS",""
"make omelette","MAKE_EGG","FAIL","Found command: ""make omelette"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
