"Game:"
"Test","Expected","Result","Debug"
"attack","ATTACK","PASS",""
"charge","ATTACK","PASS",""
"hit","ATTACK","PASS",""
"tackle","ATTACK","PASS",""
"fight","ATTACK","PASS",""
"assault","ATTACK","PASS",""
"battle","ATTACK","PASS",""
"launch an assault","ATTACK","PASS",""
"attack with a sword","ATTACK_WEAPON","PASS",""
"attack with something sharp","ATTACK_WEAPON","FAIL","Found command: ""attack with something sharp"" >> You cannot attack with that. Ignoring... >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"attack with something pointy","ATTACK_WEAPON","FAIL","Found command: ""attack with something pointy"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"attack with something long","ATTACK_WEAPON","FAIL","Found command: ""attack with something long"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"attack with something metallic","ATTACK_WEAPON","FAIL","Found command: ""attack with something metallic"" >> You cannot attack with that. Ignoring... >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"heal","HEAL","PASS",""
"recover","HEAL","PASS",""
"regenerate","HEAL","FAIL","Found command: ""regenerate"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"rest","HEAL","FAIL","Found command: ""rest"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"restore","HEAL","FAIL","Found command: ""restore"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"defend","DEFEND","PASS",""
"guard","DEFEND","FAIL","Found command: ""guard"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"safeguard","DEFEND","FAIL","Found command: ""safeguard"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"shield","DEFEND","FAIL","Found command: ""shield"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"heal with a potion","HEAL_POTION","PASS",""
"heal with an elixer","HEAL_POTION","FAIL","Found command: ""heal with an elixer"" >> HEAL >>> Found command: ""yes"" >> Intent not understood."
"heal with an healing drink","HEAL_POTION","PASS",""
"move forwards","MOVE_FORWARDS","PASS",""
"move straight","MOVE_FORWARDS","FAIL","Found command: ""move straight"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"move backwards","MOVE_BACKWARDS","PASS",""
"move in reverse","MOVE_BACKWARDS","FAIL","Found command: ""move in reverse"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"move ahead","MOVE_FORWARDS","FAIL","Found command: ""move ahead"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"continue forwards","MOVE_FORWARDS","PASS",""
"run forwards","MOVE_FORWARDS","PASS",""
"dash forwards","MOVE_FORWARDS","PASS",""
"Time per test","4.485 ms"
"Score:","57.58%"
""
"Video Conferencing:"
"Test","Expected","Result","Debug"
"phone","PHONE","PASS",""
"phone fred","PHONE_FRED","PASS",""
"phone jane","PHONE_JANE","PASS",""
"ring jane","PHONE_JANE","FAIL","Found command: ""ring jane"" >> STOP >>> Found command: ""yes"" >> Intent not understood."
"phone jane with video","PHONE_JANE_VIDEO","PASS",""
"phone jane with webcam","PHONE_JANE_VIDEO","FAIL","Found command: ""phone jane with webcam"" >> PHONE_JANE_AUDIO >>> Found command: ""yes"" >> Intent not understood."
"use webcam to call jane","PHONE_JANE_VIDEO","FAIL","Found command: ""use webcam to call jane"" >> You cannot stop with that. Ignoring... >> STOP >>> Found command: ""yes"" >> Intent not understood."
"call jane with audio","PHONE_JANE_AUDIO","FAIL","Found command: ""call jane with audio"" >> You cannot stop with that. Ignoring... >> STOP >>> Found command: ""yes"" >> Intent not understood."
"phone jane with sound","PHONE_JANE_AUDIO","PASS",""
"contact jane with video","PHONE_JANE_VIDEO","FAIL","Found command: ""contact jane with video"" >> You cannot stop with that. Ignoring... >> STOP >>> Found command: ""yes"" >> Intent not understood."
"stop call","STOP","PASS",""
"stop call with fred","STOP_FRED","PASS",""
"end call with fred","STOP_FRED","PASS",""
"close","STOP","FAIL","Found command: ""close"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"finish call with fred","STOP_FRED","PASS",""
"halt call with fred","STOP_FRED","PASS",""
"mute video","MUTE_VIDEO","PASS",""
"mute screen","MUTE_VIDEO","FAIL","Found command: ""mute screen"" >> MUTE >>> Found command: ""yes"" >> Intent not understood."
"mute jane","MUTE_JANE","PASS",""
"silence jane","MUTE_JANE","FAIL","Found command: ""silence jane"" >> STOP >>> Found command: ""yes"" >> Intent not understood."
"Time per test","8.000 ms"
"Score:","60.00%"
""
"Cooking:"
"Test","Expected","Result","Debug"
"make an egg","MAKE_EGG","PASS",""
"make eggs","MAKE_EGG","PASS",""
"make soup","MAKE_SOUP","PASS",""
"create soup","MAKE_SOUP","PASS",""
"produce soup","MAKE_SOUP","PASS",""
"cook egg","MAKE_EGG","PASS",""
"make omelette","MAKE_EGG","FAIL","Found command: ""make omelette"" >> MAKE_SOUP >>> Found command: ""yes"" >> Intent not understood."
"make something liquid","MAKE_SOUP","FAIL","Found command: ""make something liquid"" >> MAKE_MILK >>> Found command: ""yes"" >> Intent not understood."
"boil egg","BOIL_EGG","PASS",""
"heat egg","BOIL_EGG","FAIL","Found command: ""heat egg"" >> MAKE_EGG >>> Found command: ""yes"" >> Intent not understood."
"boil soup with cooker","BOIL_SOUP_COOKER","PASS",""
