"Game:"
"Test","Expected","Result","Debug"
"attack","ATTACK","PASS",""
"charge","ATTACK","FAIL","Found command: ""charge"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"hit","ATTACK","FAIL","Found command: ""hit"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"tackle","ATTACK","FAIL","Found command: ""tackle"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"fight","ATTACK","FAIL","Found command: ""fight"" >> DEFEND >>> Found command: ""yes"" >> Intent not understood."
"assault","ATTACK","PASS",""
"battle","ATTACK","FAIL","Found command: ""battle"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"launch an assault","ATTACK","PASS",""
"attack with a sword","ATTACK_WEAPON","PASS",""
"attack with something sharp","ATTACK_WEAPON","FAIL","Found command: ""attack with something sharp"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"attack with something pointy","ATTACK_WEAPON","FAIL","Found command: ""attack with something pointy"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"attack with something long","ATTACK_WEAPON","FAIL","Found command: ""attack with something long"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"attack with something metallic","ATTACK_WEAPON","FAIL","Found command: ""attack with something metallic"" >> ATTACK >>> Found command: ""yes"" >> Intent not understood."
"heal","HEAL","PASS",""
"recover","HEAL","FAIL","Found command: ""recover"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"regenerate","HEAL","FAIL","Found command: ""regenerate"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"rest","HEAL","FAIL","Found command: ""rest"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"restore","HEAL","FAIL","Found command: ""restore"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"defend","DEFEND","PASS",""
"guard","DEFEND","PASS",""
"safeguard","DEFEND","FAIL","Found command: ""safeguard"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"shield","DEFEND","FAIL","Found command: ""shield"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"heal with a potion","HEAL_POTION","PASS",""
"heal with an elixer","HEAL_POTION","FAIL","Found command: ""heal with an elixer"" >> HEAL >>> Found command: ""yes"" >> Intent not understood."
"heal with an healing drink","HEAL_POTION","FAIL","Found command: ""heal with an healing drink"" >> HEAL >>> Found command: ""yes"" >> Intent not understood."
"move forwards","MOVE_FORWARDS","PASS",""
"move straight","MOVE_FORWARDS","FAIL","Found command: ""move straight"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"move backwards","MOVE_BACKWARDS","PASS",""
"move in reverse","MOVE_BACKWARDS","FAIL","Found command: ""move in reverse"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"move ahead","MOVE_FORWARDS","FAIL","Found command: ""move ahead"" >> ERROR >>> Found command: ""yes"" >> Intent not understood."
"continue forwards","MOVE_FORWARDS","FAIL","Found command: ""continue forwards"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"run forwards","MOVE_FORWARDS","PASS",""
"dash forwards","MOVE_FORWARDS","FAIL","Found command: ""dash forwards"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"Time per test","3988.152 ms"
"Score:","33.33%"
""
"Video Conferencing:"
"Test","Expected","Result","Debug"
"phone","PHONE","PASS",""
"phone fred","PHONE_FRED","PASS",""
"phone jane","PHONE_JANE","PASS",""
"ring jane","PHONE_JANE","PASS",""
"phone jane with video","PHONE_JANE_VIDEO","PASS",""
"phone jane with webcam","PHONE_JANE_VIDEO","FAIL","Found command: ""phone jane with webcam"" >> PHONE_JANE >>> Found command: ""yes"" >> Intent not understood."
"use webcam to call jane","PHONE_JANE_VIDEO","FAIL","Found command: ""use webcam to call jane"" >> You cannot phone with that. Ignoring... >> PHONE >>> Found command: ""yes"" >> Intent not understood."
"call jane with audio","PHONE_JANE_AUDIO","PASS",""
"phone jane with sound","PHONE_JANE_AUDIO","PASS",""
"contact jane with video","PHONE_JANE_VIDEO","FAIL","Found command: ""contact jane with video"" >> What do you want to use the jane for? >>> Found command: ""yes"" >> Intent not understood."
"stop call","STOP","PASS",""
"stop call with fred","STOP_FRED","PASS",""
"end call with fred","STOP_FRED","PASS",""
"close","STOP","FAIL","Found command: ""close"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"finish call with fred","STOP_FRED","PASS",""
"halt call with fred","STOP_FRED","PASS",""
"mute video","MUTE_VIDEO","PASS",""
"mute screen","MUTE_VIDEO","FAIL","Found command: ""mute screen"" >> MUTE >>> Found command: ""yes"" >> Intent not understood."
"mute jane","MUTE_JANE","PASS",""
"silence jane","MUTE_JANE","FAIL","Found command: ""silence jane"" >> Intent not understood. >>> Found command: ""yes"" >> Intent not understood."
"Time per test","7006.800 ms"
"Score:","70.00%"
""
"Cooking:"
"Test","Expected","Result","Debug"
"make an egg","MAKE_EGG","PASS",""
"make eggs","MAKE_EGG","PASS",""
"make soup","MAKE_SOUP","PASS",""
"create soup","MAKE_SOUP","PASS",""
"produce soup","MAKE_SOUP","PASS",""
"cook egg","MAKE_EGG","PASS",""
